gender,province,education,income_family,n
Female,New Brunswick,Below high school,"$50,000 to $74,999",11
Female,New Brunswick,Below high school,"$75,000 to $99,999",6
Female,New Brunswick,Below high school,"Less than $25,000",55
Female,New Brunswick,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",14
Female,New Brunswick,High school diploma or a high school equivalency certificate,"$125,000 and more",15
Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",57
Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",46
Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",31
Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",26
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",25
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","$125,000 and more",32
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",51
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",56
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",38
Female,New Brunswick,"Technical, community college, CEGEP, College Classique","Less than $25,000",30
Female,Newfoundland and Labrador,Above bachelor,"$100,000 to $ 124,999",8
Female,Newfoundland and Labrador,Above bachelor,"$125,000 and more",20
Female,Newfoundland and Labrador,Above bachelor,"$25,000 to $49,999",1
Female,Newfoundland and Labrador,Above bachelor,"$50,000 to $74,999",8
Female,Newfoundland and Labrador,Above bachelor,"$75,000 to $99,999",7
Female,Newfoundland and Labrador,Above bachelor,"Less than $25,000",1
Female,Newfoundland and Labrador,Bachelor's degree,"$100,000 to $ 124,999",8
Female,Newfoundland and Labrador,Bachelor's degree,"$125,000 and more",46
Female,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",12
Female,Newfoundland and Labrador,Bachelor's degree,"$50,000 to $74,999",14
Female,Newfoundland and Labrador,Bachelor's degree,"$75,000 to $99,999",12
Female,Newfoundland and Labrador,Bachelor's degree,"Less than $25,000",5
Female,Newfoundland and Labrador,Below bachelor,"$100,000 to $ 124,999",2
Female,Newfoundland and Labrador,Below bachelor,"$125,000 and more",7
Female,Newfoundland and Labrador,Below bachelor,"$25,000 to $49,999",1
Female,Newfoundland and Labrador,Below bachelor,"$50,000 to $74,999",2
Female,Newfoundland and Labrador,Below bachelor,"$75,000 to $99,999",2
Female,Newfoundland and Labrador,Below high school,"$100,000 to $ 124,999",3
